Time [s],input,useful,fir_out,iir_out
1.640000000000000069e-01,2.098064275461442030e-02,-1.115132610827928250e+00,-3.489602831204353661e-01,-4.173088353698107822e-01
1.650000000000000078e-01,-2.004836049124757213e+00,-9.747565557815602855e-01,-5.407649313638469568e-01,-4.415391985134844988e-01
1.660000000000000087e-01,2.048520386607360078e-01,-4.625608054355066501e-01,-3.772946282920723315e-01,-5.092532799311992875e-01
1.670000000000000095e-01,6.698689422400422311e-01,2.368734405447058267e-01,-6.337358771409697111e-02,8.738097203872222107e-02
1.680000000000000104e-01,-1.410565327110673561e-01,8.397194350162587861e-01,1.266111935693240431e-01,7.801759889009941551e-01
1.690000000000000113e-01,2.109431119821256750e+00,1.113380367075154531e+00,5.339735367759911901e-03,1.092876291909958386e+00
1.700000000000000122e-01,1.087883358583946469e+00,9.992349288972113275e-01,-4.322118053652907466e-01,1.539615080800245561e+00
1.710000000000000131e-01,1.367604160896611909e-01,6.412353639264034566e-01,-1.016000759459185554e+00,1.391510271931955867e+00
1.719999999999999862e-01,8.968806195300148554e-01,3.049686555589713466e-01,-1.493880314538143850e+00,7.342791741716561127e-01
1.729999999999999871e-01,3.096025235920645269e-01,2.311577759884589911e-01,-1.653070568829193787e+00,4.711531964221123969e-01
1.739999999999999880e-01,-1.823584159257851389e-01,5.031042765785863624e-01,-1.424316377247864196e+00,2.802474035659920926e-01
1.749999999999999889e-01,1.355210166567003549e+00,9.999999999999814593e-01,-9.345581591697696977e-01,2.292735728529495254e-01
1.759999999999999898e-01,1.347523768000347788e+00,1.461470224878762991e+00,-4.637504989249847109e-01,7.333093405014613486e-01
1.769999999999999907e-01,1.274499403553123855e+00,1.628395195788043148e+00,-2.895605115489289227e-01,1.148543868127387846e+00
1.779999999999999916e-01,2.155374930252483168e+00,1.383687195445082008e+00,-4.978439120142144625e-01,1.257508603204250175e+00
1.789999999999999925e-01,6.501775338321983400e-01,8.167018909164376339e-01,-9.047798140944158796e-01,1.154971168418689853e+00
1.799999999999999933e-01,4.604584127327423504e-01,1.763355756877678648e-01,-1.180390158468088924e+00,5.414857685056605474e-01
1.809999999999999942e-01,5.435690905377676962e-01,-2.618217839450008300e-01,-1.092393363607365053e+00,-7.133434935466614890e-02
1.819999999999999951e-01,-8.357064164938423634e-01,-3.423396606865575231e-01,-6.598819526470568464e-01,-4.703578218961182444e-01
1.829999999999999960e-01,-4.595597860768060872e-02,-1.112924014860988547e-01,-9.090676822875382035e-02,-8.597661779739401711e-01
1.839999999999999969e-01,8.703946874511945264e-01,2.118943383068881692e-01,4.063370738409133320e-01,-6.608330742988660633e-01
1.849999999999999978e-01,-1.657931542916273870e-01,3.567225670316602759e-01,7.404507247063362163e-01,-1.744272941922318243e-01
1.859999999999999987e-01,8.107090283781166473e-01,1.516252626245144786e-01,8.958979699393498919e-01,-7.416004274588819389e-02
1.869999999999999996e-01,-1.835568645906455743e-01,-3.797368028693973163e-01,8.502371359248229732e-01,-1.487332727349249817e-01
1.880000000000000004e-01,-2.725899107223917373e+00,-1.028200429655054648e+00,6.038811107440079651e-01,-8.973456585473105207e-01
1.890000000000000013e-01,-7.231463934627950785e-01,-1.509685616770076733e+00,2.891562532043547296e-01,-1.901031852764710983e+00
1.900000000000000022e-01,-1.588076966623923614e+00,-1.616796077701763812e+00,1.729053696114749017e-01,-1.874243419601086869e+00
1.910000000000000031e-01,-2.068944271468634799e+00,-1.329342273185684320e+00,4.644222804318403619e-01,-1.592278528046576325e+00
1.920000000000000040e-01,1.314260620316184680e-01,-8.239438074128732081e-01,1.082633127298619824e+00,-1.304480105160632508e+00
1.930000000000000049e-01,-5.583414637908501454e-01,-3.775536132772286946e-01,1.650593897502949048e+00,-5.120468049847104464e-01
1.940000000000000058e-01,-6.364652434155670946e-01,-2.172259769559372611e-01,1.778260473708036749e+00,-8.751298465064755172e-02
1.950000000000000067e-01,3.153493849086741463e-02,-3.975673177702168104e-01,1.381989759474830493e+00,-9.508359280946478143e-02
1.960000000000000075e-01,-1.607339209710944239e+00,-7.722803694236929362e-01,7.406233451172505866e-01,-2.289917849274385742e-01
1.970000000000000084e-01,-1.229765653593891228e+00,-1.075186064922047269e+00,2.475937672874696516e-01,-6.858791190938520188e-01
1.980000000000000093e-01,-2.868837713564833525e-01,-1.066743262584467278e+00,1.077289144643687330e-01,-7.475140209585882101e-01
1.990000000000000102e-01,-1.279092661064452630e+00,-6.665642887358186330e-01,2.457294579260705103e-01,-3.652164029461082984e-01
2.000000000000000111e-01,4.156573177532158631e-02,-5.584389404111929698e-15,4.416171410904770611e-01,-1.182762390183302870e-01
2.010000000000000120e-01,1.416641988583104528e+00,6.665642887358097513e-01,5.031834985952388095e-01,5.266591657052327458e-01
2.020000000000000129e-01,3.149144654855981496e-01,1.066743262584464169e+00,3.329963069946119680e-01,1.278955700702161913e+00
2.030000000000000138e-01,1.361842375336667965e+00,1.075186064922050155e+00,-8.289420318038565050e-02,1.397677630005584870e+00
2.039999999999999869e-01,1.306537159973045537e+00,7.722803694237134753e-01,-6.707536521304898747e-01,1.402099935597524327e+00
2.049999999999999878e-01,-1.700802962653465145e-01,3.975673177702217509e-01,-1.246930048112595557e+00,1.183013097410363867e+00
2.059999999999999887e-01,5.587819749039140138e-01,2.172259769559382603e-01,-1.571114236346252468e+00,5.732658915745799666e-01
