Frequency [Hz],FIR,IIR
2.893772893772893795e+01,-1.059322411320487564e-03,-6.198151180941299104e-02
2.905982905982905962e+01,-1.271124917933764802e-03,-6.098412661155794973e-02
2.918192918192918128e+01,-1.462290425678657892e-03,-6.000791080201246103e-02
2.930402930402930295e+01,-1.630612686899358607e-03,-5.905235418324077112e-02
2.942612942612942462e+01,-1.774236018558298777e-03,-5.811696102392557156e-02
2.954822954822954628e+01,-1.891675024824543243e-03,-5.720124959803235543e-02
2.967032967032966795e+01,-1.981828652426902582e-03,-5.630475174106504277e-02
2.979242979242979317e+01,-2.043988492268301697e-03,-5.542701242110825710e-02
2.991452991452991483e+01,-2.077841326657108890e-03,-5.456758932616378316e-02
3.003663003663003650e+01,-2.083466005777388514e-03,-5.372605246523811523e-02
3.015873015873015817e+01,-2.061324817751741985e-03,-5.290198378259805545e-02
3.028083028083027983e+01,-2.012249593346717488e-03,-5.209497678674880616e-02
3.040293040293040150e+01,-1.937422857515795410e-03,-5.130463619132688557e-02
3.052503052503052317e+01,-1.838354405318427635e-03,-5.053057756879512918e-02
3.064713064713064483e+01,-1.716853737256915195e-03,-4.977242701563556332e-02
3.076923076923077005e+01,-1.574998839582926165e-03,-4.902982082956302418e-02
3.089133089133089172e+01,-1.415101836694283941e-03,-4.830240519702827529e-02
3.101343101343101338e+01,-1.239672076060084269e-03,-4.758983589256350621e-02
3.113553113553113505e+01,-1.051377229986163401e-03,-4.689177798647914397e-02
3.125763125763125672e+01,-8.530030136900943784e-04,-4.620790556414594574e-02
3.137973137973137838e+01,-6.474121248986291870e-04,-4.553790145373465270e-02
3.150183150183150005e+01,-4.375030071492926075e-04,-4.488145696406842244e-02
3.162393162393162171e+01,-2.261690272174185544e-04,-4.423827162932947310e-02
3.174603174603174338e+01,-1.625863722332494777e-05,-4.360805296464101422e-02
3.186813186813186860e+01,1.894629358320177237e-04,-4.299051622878767576e-02
3.199023199023199027e+01,3.883499653094792331e-04,-4.238538419308314487e-02
3.211233211233211193e+01,5.779099980859942094e-04,-4.179238692171208247e-02
3.223443223443223360e+01,7.558347059276194612e-04,-4.121126155512920552e-02
3.235653235653235527e+01,9.200274470610790394e-04,-4.064175210352422019e-02
3.247863247863247693e+01,1.068627225557808921e-03,-4.008360924556719773e-02
3.260073260073259860e+01,1.200028794873245468e-03,-3.953659013433452607e-02
3.272283272283272026e+01,1.312898712985883501e-03,-3.900045820923588730e-02
3.284493284493284193e+01,1.406187218323565104e-03,-3.847498301427629275e-02
3.296703296703296360e+01,1.479135858588018302e-03,-3.795994002111501703e-02
3.308913308913308526e+01,1.531280866053459514e-03,-3.745511046058782462e-02
3.321123321123320693e+01,1.562452333566934689e-03,-3.696028115583825657e-02
3.333333333333333570e+01,1.572769303975615849e-03,-3.647524436398394410e-02
3.345543345543345737e+01,1.562630940198148251e-03,-3.599979762064590971e-02
3.357753357753357903e+01,1.532703995909466717e-03,-3.553374359119133158e-02
3.369963369963370070e+01,1.483906852706830173e-03,-3.507688992517633136e-02
3.382173382173382237e+01,1.417390433384121485e-03,-3.462904911596222102e-02
3.394383394383394403e+01,1.334516336582312586e-03,-3.419003836537042734e-02
3.406593406593406570e+01,1.236832570726935972e-03,-3.375967945143652088e-02
3.418803418803418737e+01,1.126047288926535937e-03,-3.333779860103322501e-02
